name,year,party,wonPrimary,wonGeneral,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex,image
Fred Harris,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#202879,,,,1976-harris.jpg
Mo Udall,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#282b93,,,,1976-udall.jpg
Franklin Church,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#1331B2,,,,1976-church.jpg
George Wallace,1976,Democratic,N,N,Y,Y,TRUE,Y,#EF0003,#ffffff,#0002CB,#000000,,,1976-wallace.jpg
Sargent Shriver,1976,Democratic,N,N,Y,Y,TRUE,Y,#EA452E,#ffffff,,,,,1976-shriver.jpg
Henry M. Jackson,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#030364,,,,1976-jackson.jpg
Jimmy Carter,1976,Democratic,Y,Y,Y,Y,TRUE,N,,#ffffff,,#267927,,,1976-carter.jpg
Gerald Ford,1976,Republican,Y,N,Y,Y,TRUE,Y,,#ffffff,#030af9,,,,1976-ford.jpg
Ronald Reagan,1976,Republican,N,N,Y,Y,TRUE,Y,#ec5133,#ffffff,#214592,,,,1976-reagan.jpg
Lloyd Bentsen,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#258FD6,,,,1976-bentsen.jpg
Birch Bayh,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#134ECF,,,,1976-bayh.jpg
Robert C. Byrd,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#03036A,,,,1976-byrd.jpg
Terry Sanford,1976,Democratic,N,N,Y,Y,TRUE,Y,#E10001,#ffffff,#000078,,,,1976-sanford.jpg
Jerry Brown,1976,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#6B3E39,,,1976-brown.jpg
Milton Shapp,1976,Democratic,N,N,Y,Y,TRUE,Y,#ef0000,#ffffff,#0000b4,,,,1976-shapp.jpg
Ellen McCormack,1976,Democratic,N,N,Y,N,FALSE,Y,#ff1100,#ffffff,#006afb,#000000,,,1976-mccormack.jpg
Roger McBride,1976,Libertarian,Y,N,Y,Y,TRUE,N,,,#0f1424,#539c58,,,1976-macbride.jpg
Ben Bubar,1976,Prohibition,Y,N,Y,Y,TRUE,N,#ff272c,#ffffff,,#000000,,,1976-bubar.jpg
Frank Zeidler,1976,Socialist,Y,N,Y,Y,TRUE,Y,#ec2431,#ffffff,#62aae0,,,,1976-zeidler.jpg
Gus Hall,1976,Communist,Y,N,Y,Y,TRUE,N,,,,#f8531d,#000000,,1976-hall.jpg
Terry Sanford,1976,Democratic,N,N,Y,Y,TRUE,Y,#a43025,#ffffff,#163882,#000000,,,1976-sanford.jpg
Terry Sanford,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#082c9c,,,,1972-sanford.jpg
Vance Hartke,1972,Democratic,N,N,Y,Y,TRUE,Y,#EC0003,#ffffff,,,,,1972-hartke.jpg
Fred Harris,1972,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#061B6F,#FEF834,,,1972-harris.jpg
Eugene J. McCarthy,1972,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#333333,,,1972-mccarthy.jpg
George McGovern,1972,Democratic,Y,N,Y,Y,TRUE,Y,,#ffffff,#000074,,,,1972-mcgovern.jpg
John Ashbrook,1972,Republican,N,N,Y,Y,TRUE,Y,#ED462E,#ffffff,#1438C5,#000000,,,1972-ashbrook.jpg
John Lindsay,1972,Democratic,N,N,Y,Y,TRUE,Y,#EC0003,#ffffff,#030367,,,,1972-lindsay.jpg
George Wallace,1972,Democratic,N,N,Y,Y,TRUE,Y,#FF6654,#ffffff,#083FAA,,,,1972-wallace.jpg
Hubert Humphrey,1972,Democratic,N,N,Y,Y,TRUE,Y,#C93B27,#ffffff,#051864,,,,1972-humphrey.jpg
Henry M. Jackson,1972,Democratic,N,N,Y,Y,TRUE,Y,#DC0402,#ffffff,#0305AC,,,,1972-jackson.jpg
Harold Hughes,1972,Democratic,N,N,Y,Y,TRUE,Y,#DB4438,#ffffff,#337FA9,#000000,,,1972-hughes.jpg
Shirley Chisholm,1972,Democratic,N,N,N,N,FALSE,N,,,,#feab00,#000000,,1972-chisholm.jpg
Pete McCloskey,1972,Republican,N,N,Y,Y,TRUE,Y,#FF0302,#ffffff,#030359,,,,1972-mccloskey.jpg
Ralph Yarborough,1972,Democratic,N,N,Y,Y,TRUE,Y,#EF0405,#ffffff,#030587,,,,1972-yarborough.jpg
Wilbur Mills,1972,Democratic,N,N,Y,Y,TRUE,Y,#D83F2A,#ffffff,#0C2489,,,,1972-mills.jpg
Edmund Muskie,1972,Democratic,N,N,Y,Y,TRUE,N,,,,#EE6331,#461E63,,1972-muskie.jpg
Sam Yorty,1972,Democratic,N,N,Y,Y,TRUE,Y,#EC4530,#ffffff,#112DA4,,,,1972-yorty.jpg
Richard Nixon,1972,Republican,Y,Y,Y,Y,TRUE,Y,#F41101,#ffffff,#010283,,,,1972-nixon.jpg
Patsy Mink,1972,Democratic,N,N,N,N,FALSE,N,,,#2c628c,#fad6d8,,,1972-mink.jpg
John G. Schmitz,1972,American Independent,Y,N,Y,Y,TRUE,Y,#fa2b2b,#ffffff,#060cff,,,,1972-schmitz.jpg
John Hospers,1972,Libertarian,Y,N,Y,Y,TRUE,N,,#ffffff,,#2d1a7b,,,1972-hospers.jpg
Linda Jenness,1972,Socialist Workers,Y,N,Y,N,FALSE,N,,#ffffff,,#66d14a,#000000,,1972-jenness.jpg
Benjamin Spock,1972,Peoples,Y,N,Y,Y,TRUE,N,,,,#c63019,#000000,,1972-spock.jpg
Hubert Humphrey,1968,Democratic,Y,N,Y,Y,TRUE,Y,#DA3F2B,#ffffff,#061E78,,,,1968-humphrey.jpg
George Wallace,1968,Independent,Y,N,Y,Y,TRUE,Y,#FF5E4D,,#1F2E63,,,,1968-wallace.jpg
Nelson Rockefeller,1968,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#030473,,,,1968-rockefeller.jpg
Richard Nixon,1968,Republican,Y,Y,Y,Y,TRUE,Y,#e10000,#ffffff,#00006d,,,,1968-nixon.jpg
Robert F. Kennedy,1968,Democratic,N,N,Y,Y,TRUE,Y,#EC4530,#ffffff,#0D258B,,,,1968-kennedy.jpg
George W. Romney,1968,Republican,N,N,Y,Y,TRUE,Y,#ED4530,#ffffff,#071F79,,,,1968-romney.jpg
Eugene J. McCarthy,1968,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#2A1D70,#7CB7D6,,,1968-mccarthy.jpg
Ronald Reagan,1968,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#162247,#f2b43f,,,1968-reagan.jpg
Harold Stassen,1968,Republican,N,N,Y,Y,TRUE,N,,#ffffff,,#73c277,,,1968-stassen.jpg
George McGovern,1968,Democratic,N,N,Y,Y,TRUE,Y,#fc1e4f,,#31447e,,,,1968-mcgovern.jpg
Eldridge Cleaver,1968,Peace and Freedom,Y,N,N,Y,FALSE,N,,,,#e72f04,#000000,,1968-cleaver.jpg
Fred Halstead,1968,Socialist Workers,Y,N,Y,Y,TRUE,N,#fd4658,#ffffff,,#191a20,,,1968-halstead.jpg
Harold Munn,1968,Prohibition,Y,N,Y,Y,TRUE,Y,#f5474f,#ffffff,#204fbf,,,,1968-munn.jpg
Charlene Mitchell,1968,Communist,Y,N,N,N,FALSE,N,#ff0800,#ffffff,,#000000,,,1968-mitchell.jpg
